,text_name,RelFreq_NOUN,RelFreq_VERB,RelFreq_ADJ,RelFreq_ADV,Unique_PER,Unique_LOC,Unique_ORG
91,1048.a4.txt,1432.43,1315.32,531.53,567.57,0,0,2
92,1049.a4.txt,1366.46,1294.0,807.45,496.89,0,0,1
93,1050.a4.txt,1540.34,1198.04,782.4,403.42,0,0,4
94,1052.a4.txt,1366.34,1128.71,613.86,465.35,0,0,1
95,1055.a4.txt,1468.06,1000.95,600.57,419.45,0,1,1
96,1057.a4.txt,1319.15,1191.49,510.64,408.51,0,0,2
97,1060.a4.txt,1661.44,929.99,1013.58,334.38,0,0,0
98,1061.a4.txt,1436.67,1162.57,567.11,368.62,0,0,5
99,1064.a4.txt,1564.1,1042.74,615.38,435.9,0,0,2
100,1065.a4.txt,1324.28,1188.46,713.07,398.98,0,0,3
101,1066.a4.txt,1715.74,964.47,751.27,294.42,0,0,2
102,1067.a4.txt,1440.86,1000.0,591.4,430.11,0,4,0
103,1068.a4.txt,2119.76,970.06,670.66,239.52,0,0,5
104,1070.a4.txt,1234.84,1245.87,385.89,672.55,0,0,1
105,1072.a4.txt,1571.19,924.71,736.5,409.17,0,0,1
106,1074.a4.txt,1388.38,1043.56,744.1,453.72,0,0,1
107,1076.a4.txt,1559.47,1048.46,590.31,290.75,0,1,1
108,1077.a4.txt,1872.87,998.86,908.06,578.89,0,0,5
109,1081.a4.txt,1558.2,1109.07,604.95,256.65,0,0,5
110,1088.a4.txt,1242.3,1242.3,441.48,328.54,0,0,1
111,1090.a4.txt,1486.49,1162.16,684.68,405.41,0,0,4
112,1094.a4.txt,1182.68,1182.68,570.22,591.34,0,1,1
113,1095.a4.txt,1519.55,1139.66,681.56,581.01,0,0,0
114,1098.a4.txt,1380.4,1095.89,558.48,484.72,0,0,1
115,1099.a4.txt,1456.5,1163.25,654.94,254.15,0,0,2
116,1100.a4.txt,1421.11,1107.63,616.51,428.42,0,0,7
117,1102.a4.txt,1401.78,1095.76,799.61,424.48,0,1,4
118,1103.a4.txt,1540.04,1036.96,564.68,492.81,0,0,2
119,1104.a4.txt,1623.76,980.2,683.17,336.63,0,0,2
120,1112.a4.txt,1444.98,1138.76,612.44,535.89,0,0,1
121,1121.a4.txt,1564.75,1079.14,566.55,539.57,0,0,2
122,2000.a4.txt,1776.86,950.41,640.5,444.21,0,0,2
123,2005.a4.txt,1617.13,1118.88,506.99,533.22,0,0,3
